"Story","Title","Result","Date","Stability","Duration (s)"
"Google search results","User should see the correct hyperlink for the top result in google search","SUCCESS","2020-02-02T18:12:35.6787736+01:00[Europe/Belgrade]","0.0","16.23"
"Json placeholder results","User should verify the size of returned response","SUCCESS","2020-02-02T18:12:36.1108026+01:00[Europe/Belgrade]","0.0","8.03"
